Instance,RL_Makespan,OR_Makespan,Gap(%),OR_Time
0,38.76351547241211,8.256,369.51932500499163,0.409088134765625
1,38.62937927246094,8.29,365.9756245170198,0.33026766777038574
2,41.073238372802734,9.003,356.217242839084,0.1831197738647461
3,32.03326416015625,7.937,303.59410558342256,0.1822504997253418
4,33.02766799926758,7.865,319.93220596652986,0.5584752559661865
5,34.653926849365234,7.593,356.39308375299925,0.769702672958374
6,37.95314407348633,8.557,343.53329523765717,0.417905330657959
7,32.833309173583984,8.509,285.86566192953325,0.5628979206085205
8,32.88790512084961,8.154,303.3346225269758,0.36319422721862793
9,37.20473861694336,9.392,296.13222547852814,0.6523175239562988
10,38.61024475097656,7.419,420.4238408272889,0.41263365745544434
11,30.10879135131836,7.872,282.47956493036537,0.7271010875701904
12,32.72956848144531,6.619,394.47905244667345,0.2853713035583496
13,38.24463653564453,8.267,362.6180783312511,0.46984434127807617
14,29.211755752563477,7.648,281.9528733337275,0.13326430320739746
15,39.532142639160156,9.034,337.59290058844533,0.35347700119018555
16,31.479721069335938,8.017,292.66210639061916,0.4981260299682617
17,34.291439056396484,8.776,290.74110137188336,0.13992023468017578
18,36.2364501953125,9.059,300.0049695917044,0.30065464973449707
19,35.314208984375,7.958,343.7573383309249,0.42359280586242676
20,34.015167236328125,8.691,291.38381355802693,0.4871635437011719
21,31.49089241027832,7.904,298.41716106121356,0.15341448783874512
22,33.5972900390625,8.804,281.6139259321047,0.5409765243530273
23,36.223358154296875,8.305,336.1632529114615,0.46298789978027344
24,35.58940887451172,9.066,292.5591095798777,0.18457818031311035
25,30.313451766967773,8.017,278.1146534485191,0.5660049915313721
26,33.87665557861328,8.725,288.2711241101809,0.5633285045623779
27,34.30958938598633,7.451,360.4695931550977,0.2293071746826172
28,30.643367767333984,7.97,284.48391176077774,0.7891428470611572
29,28.411264419555664,7.38,284.97648264980575,0.35608863830566406
30,40.14105224609375,8.419,376.7912132806004,0.18983888626098633
31,31.779216766357422,8.619,268.71118188139485,0.706824779510498
32,35.78759002685547,7.327,388.43442100253134,0.22762751579284668
33,33.48128890991211,8.393,298.9192054082224,0.15965867042541504
34,39.236488342285156,8.509,361.11750314120525,0.14215946197509766
35,28.102033615112305,7.789,260.7912904751868,0.18848228454589844
36,36.25514602661133,8.409,331.1469381211955,0.139235258102417
37,31.262693405151367,7.843,298.6063165262192,0.3158242702484131
38,33.239322662353516,8.697,282.19297070660593,0.7885167598724365
39,35.00583267211914,7.925,341.7139769352573,0.43760085105895996
40,27.812009811401367,7.631,264.46088076793825,0.48990559577941895
41,34.01472091674805,8.795,286.75066420407103,0.43616580963134766
42,33.743587493896484,8.618,291.54777783588395,0.7664213180541992
43,36.48188781738281,8.792,314.9441289511239,0.33385777473449707
44,32.93402862548828,8.928,268.88472922813935,0.10733795166015625
45,31.634355545043945,7.358,329.93144258010255,0.32746076583862305
46,32.16495132446289,8.483,279.16953111473407,0.8818955421447754
47,35.055824279785156,8.353,319.67944786047116,0.9410746097564697
48,38.76744842529297,7.69,404.12806794919334,0.5084068775177002
49,36.631256103515625,9.022,306.0214598039861,0.37462735176086426
50,31.776058197021484,8.309,282.42939218945105,0.21749043464660645
51,28.008766174316406,7.397,278.6503470909343,0.5656359195709229
52,33.37669372558594,9.062,268.3148722752807,0.6394848823547363
53,34.324764251708984,8.134,321.99120053736146,0.2627906799316406
54,34.3074951171875,7.851,336.982487800121,0.09513640403747559
55,33.18831253051758,7.827,324.0234129362154,0.20440173149108887
56,33.97748565673828,8.644,293.0759562325114,0.4243018627166748
57,30.620664596557617,7.816,291.7689943264793,0.2364788055419922
58,38.39704895019531,8.143,371.53443387197973,0.5468242168426514
59,32.92695999145508,8.456,289.3916744495634,0.37429046630859375
60,32.916908264160156,8.514,286.6209568259356,0.9045615196228027
61,43.78615951538086,8.67,405.0306749178876,0.3056316375732422
62,32.84872055053711,8.027,309.2278628446133,0.6758580207824707
63,38.01911544799805,8.564,343.9410958430412,0.45009708404541016
64,31.060209274291992,7.513,313.4195298055636,0.24576163291931152
65,35.70806884765625,9.0,296.75632052951386,0.7563486099243164
66,38.14128494262695,8.64,341.4500572063305,0.8615939617156982
67,34.511329650878906,8.071,327.59669992415945,0.3108487129211426
68,32.78550338745117,8.446,288.17787576901696,3.000859022140503
69,30.882244110107422,8.624,258.09652261256286,0.5043480396270752
70,34.779876708984375,7.86,342.4920700888597,0.5290594100952148
71,32.91242599487305,8.292,296.9178243472388,0.8105173110961914
72,32.4785041809082,9.012,260.3917463482934,0.4536561965942383
73,33.94454574584961,8.405,303.8613414140346,2.377781629562378
74,39.73893737792969,9.037,339.73594531293224,0.8731615543365479
75,36.20887756347656,8.545,323.7434472027684,1.074298620223999
76,34.636470794677734,8.092,328.0334996870704,1.5343239307403564
77,35.50452423095703,8.636,311.1223278248846,1.8076233863830566
78,32.3329963684082,7.991,304.6176494607459,1.0219125747680664
79,35.47205352783203,8.546,315.0720047721979,0.47507166862487793
80,36.463226318359375,8.308,338.8929503894966,4.063584804534912
